5.213610000000000000e+05,1.649000000011641589e+02,9.804999999941792055e+01,3.104750000002910610e+02
5.213610399999999790e+05,1.655750000014188004e+02,9.652500000047294293e+01,3.105250000004729145e+02
5.213610800000000163e+05,1.640000000000000000e+02,9.609500000014115528e+01,3.100950000001411695e+02
5.213611199999999953e+05,1.640000000000000000e+02,9.629500000002474280e+01,3.102950000000247428e+02
5.213611599999999744e+05,1.640000000000000000e+02,9.649499999990831611e+01,3.104949999999083161e+02
5.213612000000000116e+05,1.640000000000000000e+02,9.669500000008294194e+01,3.106950000000829277e+02
5.213612399999999907e+05,1.640000000000000000e+02,9.689499999996652946e+01,3.108949999999665579e+02
5.213612800000000279e+05,1.644750000009822486e+02,9.700000000000000000e+01,3.114750000009822770e+02
5.213613200000000070e+05,1.650000000000000000e+02,9.842500000087311207e+01,3.110499999994179348e+02
5.213613599999999860e+05,1.650000000000000000e+02,1.004749999995270571e+02,3.100000000000000000e+02
5.213614000000000233e+05,1.650000000000000000e+02,1.009049999998588447e+02,3.100000000000000000e+02
5.213614400000000023e+05,1.650000000000000000e+02,1.007049999999752572e+02,3.100000000000000000e+02
5.213614799999999814e+05,1.650000000000000000e+02,1.005050000000916839e+02,3.100000000000000000e+02
5.213615200000000186e+05,1.650000000000000000e+02,1.003049999999170581e+02,3.100000000000000000e+02
5.213615599999999977e+05,1.650000000000000000e+02,1.001050000000334705e+02,3.100000000000000000e+02
5.213615999999999767e+05,1.659499999990541141e+02,9.905000000094587165e+01,3.104749999995270855e+02
5.213616400000000140e+05,1.660499999994179348e+02,9.942500000087311207e+01,3.110000000000000000e+02
5.213616799999999930e+05,1.645250000004729429e+02,1.000500000009458716e+02,3.110000000000000000e+02
5.213617199999999721e+05,1.640949999998501028e+02,9.890500000014988302e+01,3.107150000004496633e+02
5.213617600000000093e+05,1.642950000000247428e+02,9.870499999997525720e+01,3.101149999999257716e+02
5.213617999999999884e+05,1.644949999999083161e+02,9.850500000009168389e+01,3.095150000002750517e+02
5.213618400000000256e+05,1.646950000000829561e+02,9.830499999991705806e+01,3.089149999997511600e+02
5.213618800000000047e+05,1.648949999999665295e+02,9.810500000003347054e+01,3.083150000001003832e+02
