521370.6, 35.2941966, 136.254436, 141.579, 2.422, 3.921, -0.04, 0.02, -0.02, 0.38
521370.8, 35.2941967, 136.2544359, 141.6, 2.426, 3.937, 0, -0.02, -0.01, 0.41
521371, 35.2941962, 136.2544359, 141.624, 2.43, 3.954, -0.15, -0.02, -0.01, 0.39
521371.2, 35.2941963, 136.2544361, 141.624, 2.433, 3.964, -0.01, 0.06, -0.01, 0.38
521371.4, 35.2941964, 136.254436, 141.658, 2.436, 3.974, 0, 0, 0, 0.39
521371.6, 35.2941963, 136.2544359, 141.673, 2.444, 3.989, -0.01, -0.02, -0.01, 0.38
521371.8, 35.294197, 136.2544355, 141.671, 2.454, 4.006, 0.17, -0.01, -0.02, 0.56
521372, 35.2941973, 136.2544351, 141.65, 2.463, 4.014, 0.16, -0.12, -0.01, 0.58
521372.2, 35.2941972, 136.2544352, 141.623, 2.474, 4.024, 0.1, -0.08, 0, 0.58
521372.4, 35.2941969, 136.2544354, 141.605, 2.473, 4.039, 0, -0.02, 0, 0.43
521372.6, 35.2941971, 136.2544349, 141.608, 2.478, 4.054, 0.05, -0.16, 0, 0.45
521372.8, 35.294197, 136.2544335, 141.611, 2.483, 4.06, -0.01, -0.44, 0, 0.38
521373, 35.294198, 136.2544317, 141.636, 2.482, 4.063, 0.22, -0.65, 0.01, 0.41
521373.2, 35.294199, 136.2544296, 141.584, 2.478, 4.062, 0.41, -0.88, 0.02, 0.42
521373.4, 35.2942005, 136.2544261, 141.559, 2.473, 4.058, 0.62, -1.28, 0.03, 0.4
521373.6, 35.294202, 136.2544227, 141.527, 2.472, 4.055, 0.77, -1.45, 0.04, 0.46
521373.8, 35.2942048, 136.2544179, 141.487, 2.469, 4.052, 1.16, -1.86, 0.06, 0.42
521374, 35.294208, 136.2544121, 141.481, 2.458, 4.042, 1.48, -2.26, 0.06, 0.35
521374.2, 35.2942111, 136.2544055, 141.444, 2.446, 4.02, 1.63, -2.66, 0.08, 0.35
521374.4, 35.2942145, 136.2543983, 141.385, 2.436, 4.009, 1.79, -3.03, 0.09, 0.34
521374.6, 35.2942185, 136.2543905, 141.355, 2.427, 3.991, 2.03, -3.32, 0.11, 0.38
521374.8, 35.2942223, 136.2543819, 141.275, 2.419, 3.973, 2.08, -3.68, 0.12, 0.36
521375, 35.2942267, 136.2543726, 141.169, 2.408, 3.963, 2.29, -4.06, 0.12, 0.34
521375.2, 35.2942315, 136.254363, 141.042, 2.391, 3.922, 2.49, -4.39, 0.16, 0.33
521375.4, 35.2942365, 136.2543531, 140.954, 2.375, 3.897, 2.64, -4.68, 0.17, 0.36
521375.6, 35.2942414, 136.2543426, 140.775, 2.359, 3.864, 2.72, -4.86, 0.2, 0.4
521375.8, 35.2942466, 136.2543313, 140.564, 2.344, 3.841, 2.98, -5.22, 0.24, 0.36
521376, 35.294253, 136.2543185, 140.469, 2.328, 3.796, 3.3, -5.57, 0.31, 0.38
521376.2, 35.2942587, 136.2543059, 140.351, 2.321, 3.777, 3.26, -5.67, 0.36, 0.42
521376.4, 35.2942618, 136.2542941, 139.463, 2.312, 3.747, 2.72, -5.92, 0.68, 0.44
521376.6, 35.2942667, 136.2542807, 138.775, 2.304, 3.72, 2.83, -6.2, 0.88, 0.44
521376.8, 35.2942727, 136.2542664, 138.128, 2.3, 3.696, 3.15, -6.58, 1.01, 0.46
521377, 35.2942798, 136.2542514, 137.417, 2.294, 3.669, 3.67, -6.97, 1.11, 0.46
521377.2, 35.2942881, 136.2542335, 137.158, 2.286, 3.636, 4.1, -7.62, 1.09, 0.45
521377.4, 35.2942966, 136.2542149, 137.035, 2.278, 3.611, 4.44, -8.05, 1.03, 0.44
521377.6, 35.2943058, 136.2541955, 136.963, 2.26, 3.571, 4.77, -8.36, 0.95, 0.37
521377.8, 35.2943154, 136.2541757, 137.028, 2.256, 3.558, 5.01, -8.55, 0.87, 0.43
521378, 35.2943252, 136.2541558, 136.95, 2.255, 3.55, 5.21, -8.71, 0.84, 0.44
521378.2, 35.2943353, 136.254136, 136.837, 2.248, 3.544, 5.36, -8.76, 0.83, 0.36
521378.4, 35.2943453, 136.2541172, 136.66, 2.24, 3.539, 5.48, -8.62, 0.83, 0.35
521378.6, 35.2943557, 136.2540976, 136.524, 2.235, 3.542, 5.59, -8.72, 0.82, 0.35
521378.8, 35.2943667, 136.2540781, 136.469, 2.23, 3.541, 5.86, -8.68, 0.76, 0.35
521379, 35.2943777, 136.254059, 136.416, 2.223, 3.532, 6.01, -8.62, 0.68, 0.35
521379.2, 35.2943887, 136.2540402, 136.332, 2.22, 3.535, 6.04, -8.5, 0.66, 0.36
521379.4, 35.2944, 136.2540214, 136.277, 2.215, 3.531, 6.12, -8.43, 0.63, 0.36
521379.6, 35.2944121, 136.2540022, 136.389, 2.205, 3.528, 6.36, -8.4, 0.54, 0.39
521379.8, 35.2944238, 136.2539837, 136.449, 2.198, 3.519, 6.46, -8.3, 0.48, 0.42
