0,521360.005,6601378,6681777,4935938,8396614,8398180,8400230,23265,8925653,48830
1,521360.013,6599215,6654795,4947455,8396373,8398315,8399167,23049,8925729,48830
2,521360.021,6589761,6602457,4950768,8396048,8398326,8398752,23840,8925577,48830
3,521360.029,6610973,6674792,4929780,8399096,8398696,8399380,23178,8925449,48830
4,521360.037,6594840,6705979,4951652,8395421,8397996,8400055,23342,8925698,48830
5,521360.045,6591960,6672750,4961191,8397757,8399058,8400699,22919,8925590,48830
6,521360.053,6588166,6699487,4937630,8398147,8398721,8399751,23834,8925505,48830
7,521360.061,6579761,6674330,4932317,8396497,8397941,8400678,23008,8925503,48830
8,521360.069,6568488,6688740,4944164,8397570,8399073,8400856,23753,8925615,48830
9,521360.077,6579796,6682967,4952988,8395912,8398091,8399921,23273,8925516,48830
10,521360.085,6584288,6680245,4972934,8395578,8398297,8399749,22623,8925557,48830
11,521360.093,6598723,6671361,4947247,8395202,8399536,8400217,23747,8925787,48830
12,521360.101,6600094,6664548,4940584,8396650,8398545,8398479,22989,8925784,48830
13,521360.109,6602424,6688350,4942711,8397180,8398399,8398580,23409,8925410,48830
14,521360.117,6589854,6682153,4944621,8396871,8398406,8399934,22887,8925503,48830
15,521360.125,6580182,6693043,4942900,8397839,8398334,8399738,23326,8925528,48830
16,521360.133,6577089,6695891,4943299,8397481,8398735,8399952,23717,8925709,48830
17,521360.141,6566569,6694565,4949446,8397159,8399065,8400069,22943,8925447,48830
18,521360.149,6567549,6699464,4967769,8397568,8398453,8399426,23031,8925705,48830
19,521360.157,6581010,6692929,4965740,8397268,8398729,8399840,22958,8925859,48830
20,521360.165,6570539,6709636,4964105,8397207,8398453,8399502,22866,8925685,48830
21,521360.173,6570005,6713050,4964696,8398031,8397628,8399246,23040,8925616,48830
22,521360.181,6603742,6734855,4966553,8397388,8399568,8398649,23463,8925395,48830
23,521360.189,6632493,6712775,4926456,8397813,8398781,8398145,23193,8925812,48830
24,521360.197,6620657,6673761,4957757,8397002,8399081,8398410,23073,8925720,48830
25,521360.205,6612900,6639653,4957645,8396666,8399327,8397620,23639,8925813,48830
26,521360.213,6592606,6648301,4956566,8398361,8399393,8398126,23034,8925506,48830
27,521360.221,6591755,6655212,4943975,8397996,8398508,8398308,23170,8925480,48830
28,521360.229,6556451,6678662,4952119,8398364,8398395,8399641,23119,8925771,48830
29,521360.237,6567296,6692496,4951749,8397441,8398303,8398802,23298,8925599,48830
30,521360.245,6553610,6686658,4936618,8397338,8399645,8398828,22905,8925314,48830
31,521360.253,6560958,6670129,4925378,8396342,8398876,8398849,23210,8925618,48830
32,521360.261,6567139,6667298,4950332,8398358,8397987,8398567,22717,8925872,48830
33,521360.269,6564428,6683279,4958222,8399669,8398593,8398770,23234,8925895,48830
34,521360.277,6573663,6687906,4946806,8397692,8398906,8398886,22467,8925684,48830
35,521360.285,6611732,6685861,4974114,8398149,8398011,8398252,22900,8925789,48830
36,521360.293,6634809,6683730,4963870,8398092,8398199,8398807,23058,8925852,48830
37,521360.301,6641342,6689251,4955003,8397083,8398861,8398816,22851,8925640,48830
38,521360.309,6637674,6700347,4942390,8398827,8399089,8399763,23295,8925703,48830
39,521360.317,6643653,6702772,4936320,8397321,8399729,8399065,22951,8925842,48830
40,521360.325,6619440,6672481,4951976,8397299,8399502,8398870,22970,8925588,48830
41,521360.333,6591193,6703838,4945639,8398736,8398782,8399012,22909,8925592,48830
42,521360.341,6559087,6707346,4951963,8396901,8399234,8398925,23538,8925695,48830
43,521360.349,6552553,6711966,4954993,8397767,8399103,8399217,22641,8925661,48830
44,521360.357,6556126,6718104,4941045,8398429,8399069,8399753,23404,8925602,48830
45,521360.365,6545748,6720397,4948860,8398462,8398213,8399242,23369,8925907,48830
46,521360.373,6558125,6735941,4935480,8398219,8398342,8398494,22672,8925864,48830
47,521360.381,6567037,6726613,4941140,8397498,8398567,8399906,22972,8925662,48830
48,521360.389,6610507,6726426,4954381,8397965,8397456,8398426,22939,8925752,48830
