521360.101, -3, 167, 96, 311
521360.101, -2, 165, 97, 313
521360.101, -1, 164, 95, 311
521360.101, 0, 166, 97, 311
521360.421, -3, 166, 98, 312
521360.421, -2, 164, 98, 311
521360.421, -1, 166, 95, 311
521360.421, 0, 163, 97, 309
521360.741, -3, 164, 95, 313
521360.741, -2, 165, 96, 312
521360.741, -1, 165, 98, 310
521360.741, 0, 165, 97, 311
521361.061, -3, 165, 97, 311
521361.061, -2, 163, 99, 310
521361.061, -1, 167, 97, 311
521361.061, 0, 164, 96, 310
521361.381, -3, 164, 97, 311
521361.381, -2, 165, 97, 312
521361.381, -1, 165, 100, 310
521361.381, 0, 165, 101, 310
521361.701, -3, 165, 100, 310
521361.701, -2, 167, 98, 311
521361.701, -1, 165, 101, 311
521361.701, 0, 164, 99, 311
521362.021, -3, 165, 98, 308
521362.021, -2, 164, 98, 310
521362.021, -1, 164, 98, 308
521362.021, 0, 165, 100, 307
521362.341, -3, 165, 99, 310
521362.341, -2, 167, 99, 309
521362.341, -1, 164, 99, 309
521362.341, 0, 164, 99, 309
521362.661, -3, 163, 102, 309
521362.661, -2, 165, 97, 308
521362.661, -1, 166, 100, 308
521362.661, 0, 165, 102, 308
521362.981, -3, 163, 101, 308
521362.981, -2, 165, 99, 307
521362.981, -1, 164, 100, 310
521362.981, 0, 165, 98, 308
521363.301, -3, 163, 102, 310
521363.301, -2, 165, 99, 307
521363.301, -1, 164, 102, 309
521363.301, 0, 164, 101, 308
521363.621, -3, 165, 101, 308
521363.621, -2, 162, 103, 311
521363.621, -1, 165, 101, 307
521363.621, 0, 166, 102, 309
521363.941, -3, 166, 100, 307
521363.941, -2, 165, 99, 309
521363.941, -1, 165, 101, 307
521363.941, 0, 164, 101, 310
521364.261, -3, 166, 101, 308
521364.261, -2, 163, 97, 309
521364.261, -1, 166, 102, 309
521364.261, 0, 162, 101, 310
521364.581, -3, 164, 99, 309
521364.581, -2, 163, 99, 308
521364.581, -1, 163, 99, 309
521364.581, 0, 165, 100, 310
521364.901, -3, 166, 98, 309
521364.901, -2, 164, 96, 311
521364.901, -1, 163, 99, 311
521364.901, 0, 164, 97, 310
521365.221, -3, 163, 99, 311
521365.221, -2, 164, 100, 310
521365.221, -1, 163, 97, 309
521365.221, 0, 164, 99, 310
521365.541, -3, 166, 99, 311
521365.541, -2, 164, 100, 309
521365.541, -1, 163, 100, 310
521365.541, 0, 166, 98, 309
521365.861, -3, 165, 101, 311
521365.861, -2, 162, 101, 312
521365.861, -1, 166, 100, 309
521365.861, 0, 164, 101, 311
521366.181, -3, 165, 101, 310
521366.181, -2, 163, 101, 309
521366.181, -1, 166, 98, 308
521366.181, 0, 165, 98, 308
521366.501, -3, 165, 99, 310
521366.501, -2, 164, 100, 308
521366.501, -1, 165, 101, 309
521366.501, 0, 164, 101, 312
521366.821, -3, 165, 99, 308
521366.821, -2, 164, 101, 309
521366.821, -1, 165, 103, 309
521366.821, 0, 165, 99, 309
521367.141, -3, 165, 99, 309
521367.141, -2, 164, 101, 311
521367.141, -1, 164, 99, 309
521367.141, 0, 164, 99, 308
521367.461, -3, 165, 101, 310
521367.461, -2, 164, 100, 310
521367.461, -1, 164, 100, 310
521367.461, 0, 164, 100, 309
521367.781, -3, 164, 101, 310
521367.781, -2, 163, 101, 309
521367.781, -1, 165, 102, 308
521367.781, 0, 165, 99, 310
