521360.012, 15266, 65535, 0, 20, 30273, 37553, 29913, 33162, 33291, 32262, 0, 0
521360.052, 15266, 65535, 0, 20, 30264, 37560, 29905, 33173, 33296, 32268, 0, 0
521360.092, 15266, 65535, 0, 20, 30270, 37564, 29904, 33151, 33272, 32253, 0, 0
521360.132, 15266, 65535, 0, 20, 30280, 37548, 29910, 33154, 33277, 32262, 0, 0
521360.172, 15266, 65535, 0, 20, 30277, 37552, 29907, 33158, 33282, 32262, 0, 0
521360.212, 15266, 65535, 0, 20, 30269, 37555, 29908, 33160, 33288, 32264, 0, 0
521360.252, 15266, 65535, 0, 20, 30277, 37553, 29918, 33155, 33287, 32272, 0, 0
521360.292, 15266, 65535, 0, 20, 30268, 37549, 29907, 33156, 33281, 32256, 0, 0
521360.332, 15266, 65535, 0, 20, 30274, 37555, 29916, 33157, 33282, 32256, 0, 0
521360.372, 15266, 65535, 0, 20, 30262, 37554, 29904, 33169, 33288, 32264, 0, 0
521360.412, 15266, 65535, 0, 20, 30266, 37551, 29909, 33165, 33296, 32261, 0, 0
521360.452, 15266, 65535, 0, 20, 30267, 37562, 29905, 33163, 33290, 32261, 0, 0
521360.492, 15266, 65535, 0, 20, 30279, 37572, 29910, 33150, 33286, 32246, 0, 0
521360.532, 15266, 65535, 0, 20, 30279, 37550, 29911, 33152, 33284, 32243, 0, 0
521360.572, 15266, 65535, 0, 20, 30270, 37549, 29917, 33160, 33286, 32253, 0, 0
521360.612, 15266, 65535, 0, 20, 30283, 37553, 29918, 33161, 33293, 32261, 0, 0
521360.652, 15266, 65535, 0, 20, 30268, 37555, 29916, 33172, 33299, 32273, 0, 0
521360.692, 15266, 65535, 0, 20, 30277, 37548, 29922, 33156, 33284, 32255, 0, 0
521360.732, 15266, 65535, 0, 20, 30272, 37563, 29935, 33158, 33283, 32253, 0, 0
521360.772, 15266, 65535, 0, 20, 30278, 37548, 29944, 33153, 33281, 32256, 0, 0
521360.812, 15266, 65535, 0, 22, 30279, 37548, 29945, 33160, 33281, 32262, 0, 0
521360.852, 15266, 65535, 0, 22, 30275, 37553, 29951, 33177, 33303, 32271, 0, 0
521360.892, 15266, 65535, 0, 22, 30272, 37557, 29979, 33153, 33282, 32250, 0, 0
521360.932, 65535, 65535, 0, 26, 30283, 37547, 29952, 33158, 33281, 32253, 0, 0
521360.972, 65535, 65535, 0, 26, 30279, 37548, 29954, 33154, 33282, 32250, 0, 0
521361.012, 65535, 65535, 0, 21, 30267, 37552, 29946, 33164, 33290, 32252, 0, 0
521361.052, 65535, 65535, 0, 21, 30280, 37539, 29954, 33162, 33291, 32261, 0, 0
521361.092, 65535, 65535, 0, 21, 30281, 37546, 29954, 33154, 33282, 32248, 0, 0
521361.132, 65535, 65535, 0, 21, 30268, 37553, 29948, 33153, 33283, 32253, 0, 0
521361.172, 65535, 65535, 0, 21, 30279, 37550, 29948, 33150, 33278, 32250, 0, 0
